Date,Agency,Category,Information,,
29. December 2025,Egyptian Drug Authority,Guidance,EDA Renal Anaemia Guidance to Good Pharmacy Practice (2025),,https://www.linkedin.com/feed/update/urn:li:activity:7409703861944283136?
29. December 2025,European Commission,Guidance,MDCG 2025-10 post-market surveillance of medical devices and IVD,,https://www.linkedin.com/feed/update/urn:li:activity:7407823460980137984?
29. December 2025,European Commission,Update,Notified Body Update (52) Active MDR (19) IVDR,,https://www.linkedin.com/feed/update/urn:li:activity:7409531269748846592?
29. December 2025,European Medicines Agency,Factsheet,Oncology indications in the EU that are biomarker-based approved 1995 - 2024,,https://www.linkedin.com/feed/update/urn:li:activity:7409835322567700480?
29. December 2025,European Medicines Agency,Guidance,Medicinal Products Intended Exclusively for Markets Outside the European Union,,https://www.linkedin.com/feed/update/urn:li:activity:7409859602160369664?
29. December 2025,European Medicines Agency,Guidance,Centralised Procedure: Pre- & Post-Authorisation Procedural Advice,,https://www.linkedin.com/feed/update/urn:li:activity:7409873208042205184?
29. December 2025,European Medicines Agency,Guidance,Clinical Investigation of Medicinal Products Acute Respiratory Distress Syndrome,,https://www.linkedin.com/feed/update/urn:li:activity:7410197696948613120?
29. December 2025,Health Canada,Consultation,Modernizing the Framework for Clinical Trials,,https://www.linkedin.com/feed/update/urn:li:activity:7408789625068081154?
29. December 2025,International Medical Device Regulators Forum,Plan,IMDRF Strategic Plan 2026-2030,,https://www.linkedin.com/feed/update/urn:li:activity:7408773819986984961?
29. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Leading practice guidelines,,https://www.linkedin.com/feed/update/urn:li:activity:7409537032030572544?
29. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Guidance: UK MDR 2002 - Conformity assessment updates Flowchart,,https://www.linkedin.com/feed/update/urn:li:activity:7409507139045453824?
29. December 2025,Medicines and Healthcare products Regulatory Agency,Consultation,Call for Evidence: National Commission into the Regulation of AI in Healthcare,,https://www.linkedin.com/feed/update/urn:li:activity:7410733538381287425?
29. December 2025,MedTech Europe,Report,European IVD Market Statistics Report 2025,,https://www.linkedin.com/feed/update/urn:li:activity:7409509557355495424?
29. December 2025,Medical Device Single Audit Program MDSAP,Outcome Statement,2025 Medical Device Single Audit Program (MDSAP) Forum,,https://www.linkedin.com/feed/update/urn:li:activity:7409472915114520576?
29. December 2025,National Institute of Standards and Technology (NIST),Guidance,Mitigating Cybersecurity and Privacy Risks in Telehealth Smart Home Integration,,https://www.linkedin.com/feed/update/urn:li:activity:7408782035286134785?
29. December 2025,National Institute of Standards and Technology (NIST),Guidance,Cybersecurity Framework Profile for Artificial Intelligence,,https://www.linkedin.com/feed/update/urn:li:activity:7409133068978016257?
29. December 2025,NMPA- National Medical Products Administration,Regulations,Filing & Management of Internet Drug and Medical Device Information Services,,https://www.linkedin.com/feed/update/urn:li:activity:7409130165512867840?
29. December 2025,Pharmaceutical Inspection Co-operation Scheme PIC/S,Concept Paper,Annex 3 of the Guidelines on GMP for Radiopharmaceuticals,,https://www.linkedin.com/feed/update/urn:li:activity:7409110539743764480?
29. December 2025,Swissmedic,Forms,Swissmedic Forms for December 2025,,
29. December 2025,Swissmedic,Guidance,Notification of Quality Defects of Medicinal Products and APIs,,https://www.linkedin.com/feed/update/urn:li:activity:7409110529744617472?
29. December 2025,Swissmedic,Guidance,Out-of-Stock Situation,,https://www.linkedin.com/feed/update/urn:li:activity:7409110520118546432?
29. December 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Becoming an authorised prescriber for unapproved therapeutic goods in Australia,,https://www.linkedin.com/feed/update/urn:li:activity:7409495084078927872?
29. December 2025,"Therapeutic Goods Administration (TGA), Australia",Consultation,Conformity Assessment Procedures for medical devices,,https://www.linkedin.com/feed/update/urn:li:activity:7409835304796266496?
29. December 2025, United Nations,Guidance,Assessment of Abuse & Dependence Potential of New Psychoactive Substances,,https://www.linkedin.com/feed/update/urn:li:activity:7408785332571242496?
29. December 2025,USA Food & Drug Administration FDA,Guidance,Formal Dispute Resolution & Administrative Hearings,,https://www.linkedin.com/feed/update/urn:li:activity:7409110557200531456?
29. December 2025,USA Food & Drug Administration FDA,Standards,105 Updates in FDA-Recognized Standards,,https://www.linkedin.com/feed/update/urn:li:activity:7409835303642939392?
29. December 2025,World Health Organisation WHO,Guidance,List of WHO-Listed Authorities (WLA),,https://www.linkedin.com/feed/update/urn:li:activity:7409472911746506752?
29. December 2025,World Health Organisation WHO,Guidance,Driving quality across the product lifecycle,,https://www.linkedin.com/feed/update/urn:li:activity:7409472982093352960?
