Date,Agency,Category,Information
6. October 2025,Council for International Organizations of Medical Sciences,Newsletter,"CIOMS Newsletter #51 – September 2025",https://www.linkedin.com/feed/update/urn:li:activity:7379391940045275136?
6. October 2025,European Directorate for the Quality of Medicines & HealthCare,Guidance,Classification of Active Pharmaceutical Substances as regards their Supply,https://www.linkedin.com/feed/update/urn:li:activity:7378439596268810240?
6. October 2025,European Medicines Agency,Paper,A path to better include patients’ perspectives in the regulation of medicines,https://www.linkedin.com/feed/update/urn:li:activity:7378664546510716929?
6. October 2025,European Medicines Agency,Guidance,Guideline on in-use stability testing of veterinary medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7379381899443585024?
6. October 2025,European Medicines Agency,Guidance,Product Management Service (PMS) – Chapter 1: Registration requirements,https://www.linkedin.com/feed/update/urn:li:activity:7379777003412942848?
6. October 2025,European Medicines Agency,Meeting,"Pharmacovigilance Risk Assessment Committee (PRAC) 29. Sep - 2. Oct 2025",https://www.linkedin.com/feed/update/urn:li:activity:7380236195483561984?
6. October 2025,Health Canada,Guidance,The management of drug submissions and applications,https://www.linkedin.com/feed/update/urn:li:activity:7379423010145075201?
6. October 2025,Department of Health Hong Kong Special Administration,Guidance,Definitions & Abbreviations for MDACS Technical Guidance (GN-00),https://www.linkedin.com/feed/update/urn:li:activity:7379435607091068928?
6. October 2025,Department of Health Hong Kong Special Administration,Guidance,Personalised Medical Devices Technical Reference: TR-009E,https://www.linkedin.com/feed/update/urn:li:activity:7379439402596593664?
6. October 2025,Department of Health Hong Kong Special Administration,Guidance,Artificial Intelligence Medical Devices (AI-MD) Technical Reference: TR-008E,https://www.linkedin.com/feed/update/urn:li:activity:7379444909751083008?
6. October 2025,European Union Agency for Cybersecurity (ENISA),Report,ENISA Threat Landscape 2025,https://www.linkedin.com/feed/update/urn:li:activity:7379783762064125952?
6. October 2025,International Medical Device Regulators Forum,Meeting,"IMDRF 28th MC Meeting Sapporo, Japan September 2025 – Outcome Statement",https://www.linkedin.com/feed/update/urn:li:activity:7379016792599445504?
6. October 2025,"Health Sciences Authority (HSA), Singapore",Guidance,Launch of eCTD Portal for test submissions,https://www.linkedin.com/feed/update/urn:li:activity:7379021596126101504?
6. October 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7379781882198106112?
6. October 2025,Medicines and Healthcare products Regulatory Agency,Collection,Medicines: clinical trials hub,https://www.linkedin.com/feed/update/urn:li:activity:7379782364811509760?
6. October 2025,MedTech Europe,Reflection Paper,European Commission ‘European Chemicals Industry Action Plan’,https://www.linkedin.com/feed/update/urn:li:activity:7379779378920185856?
6. October 2025,MedTech Europe,Call for evidence,simplification of administrative burden in environmental legislation,https://www.linkedin.com/feed/update/urn:li:activity:7379780215310401536?
6. October 2025,South African Health Products Regulatory Authority,Guidance,Traceability Guideline-Implementation Roadmap,https://www.linkedin.com/feed/update/urn:li:activity:7379418825697705984?
6. October 2025,Swissmedic,Forms,Swissmedic Forms for October 2025
6. October 2025,Swissmedic,Guidance,Meetings for applicants for authorisation procedures,https://www.linkedin.com/feed/update/urn:li:activity:7379028702053158913?
6. October 2025,Swissmedic,Guidance,No marketing / interruption of distribution,https://www.linkedin.com/feed/update/urn:li:activity:7379030420178501632?
6. October 2025,Swissmedic,Guidance,Authorisation Biosimilar,https://www.linkedin.com/feed/update/urn:li:activity:7379032235657814016?
6. October 2025,Swissmedic,Guidance,Paediatric Investigation Plan (PIP),https://www.linkedin.com/feed/update/urn:li:activity:7379033864855363584?
6. October 2025,Swissmedic,Guidance,swissdamed User Guide UDI Devices Module,https://www.linkedin.com/feed/update/urn:li:activity:7379035967799709696?
6. October 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding the legislative framework for listed medicines,https://www.linkedin.com/feed/update/urn:li:activity:7378656344654110720?
6. October 2025,"Therapeutic Goods Administration (TGA), Australia",Regulation,Complying with medical device cyber security requirements,https://www.linkedin.com/feed/update/urn:li:activity:7379397123496124416?
6. October 2025,USA Food & Drug Administration FDA,Guidance,E20 Adaptive Designs for Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7378653217078878208?
6. October 2025,USA Food & Drug Administration FDA,Publication,FDA Custom Medical Queries for Clinical Trial Safety,https://www.linkedin.com/feed/update/urn:li:activity:7378661848868610048?
6. October 2025,USA Food & Drug Administration FDA,Consultation,Measuring and Evaluating Ai-enabled Medical Device Performance,https://www.linkedin.com/feed/update/urn:li:activity:7379038966479753216?
6. October 2025,USA Food & Drug Administration FDA,Guidance,(GDUFA)  Science and Research Priority Initiatives for Fiscal Year (FY) 2026,https://www.linkedin.com/feed/update/urn:li:activity:7379041185115447297?
6. October 2025,USA Food & Drug Administration FDA,Report,CDER QM CoE  Progress and Priorities Update,https://www.linkedin.com/feed/update/urn:li:activity:7379387263467544576?
6. October 2025,USA Food & Drug Administration FDA,Guidance,New Presentations on Quality Management System Regulation,https://www.linkedin.com/feed/update/urn:li:activity:7379784821499281408?

