Date,Agency,Category,Information,Link
2. February 2026,ANVISA Brazil,Bulletin,SNVS Bulletin - January 2026 (Issue No. 62),https://www.linkedin.com/feed/update/urn:li:activity:7421802497570140161/
2. February 2026,ANVISA Brazil,Video,Video on pharmacovigilance and the importance of reporting adverse events in VigiMed,https://www.linkedin.com/feed/update/urn:li:activity:7421809867763568640/
2. February 2026,Egyptian Drug Authority,Notice,Pharma Data Hub Phase 1  Registration Extension,https://www.linkedin.com/feed/update/urn:li:activity:7421796113004879872/
2. February 2026,Egyptian Drug Authority,Announcement,Launch of a New Electronic Service,https://www.linkedin.com/feed/update/urn:li:activity:7422224296954998784/
2. February 2026,European Commission,Guidance,EUDAMED Release Notes – Production v2.22.0,https://www.linkedin.com/feed/update/urn:li:activity:7422274154214875136/
2. February 2026,European Data Protection Board,Guidance,EU-U.S. Data Privacy Framework (DPF) – FAQ for European Businesses,https://www.linkedin.com/feed/update/urn:li:activity:7421431708916338688/
2. February 2026,European Data Protection Board,Opinion,EDPB-EDPS Joint Opinion 1/2026 on the Proposal for a Regulation simplifying the implementation of harmonised rules on Artificial Intelligence,https://www.linkedin.com/feed/update/urn:li:activity:7421454041593044993/
2. February 2026,European Directorate for the Quality of Medicines & HealthCare,Communication,European Pharmacopoeia Commission rFC integration & inno- pathways,https://www.linkedin.com/feed/update/urn:li:activity:7422243302525022208/
2. February 2026,European Medicines Agency,Guidance,SMS Guidance for External Users,https://www.linkedin.com/feed/update/urn:li:activity:7421457929121255424/
2. February 2026,European Medicines Agency,Paper,Investigation & assessment of cardiovascular safety of anticancer medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7421460208658518016/
2. February 2026,European Medicines Agency,Paper,Development of a guideline for using owner assessment as efficacy parameter,https://www.linkedin.com/feed/update/urn:li:activity:7421464000615301120/
2. February 2026,European Medicines Agency,Governance,Joint Controllership Arrangement with regard to EudraVigilance Human (EV),https://www.linkedin.com/feed/update/urn:li:activity:7421479364652953600/
2. February 2026,European Medicines Agency,Guidance,Comments on 'Guideline - inhalation and nasal medicinal products',https://www.linkedin.com/feed/update/urn:li:activity:7422232390166745088/
2. February 2026,European Medicines Agency,Guidance,Comments on'Guideline - arterial occlusive disease of the lower extremities',https://www.linkedin.com/feed/update/urn:li:activity:7422240959578632192/
2. February 2026,European Medicines Agency,Guidance,Q&A on Regulation (EU) 2025/1466 Amendment of Regulation (EU) 520/2012,https://www.linkedin.com/feed/update/urn:li:activity:7422540457156517888/
2. February 2026,European Medicines Agency,Guidance,Overview of comments received on the ICH Q3E Extractables and Leachables,https://www.linkedin.com/feed/update/urn:li:activity:7422543093956059136/
2. February 2026,European Medicines Agency,Guidance,Overview of comments received on 'Q&A regarding co-processed excipients',https://www.linkedin.com/feed/update/urn:li:activity:7422545689542496256/
2. February 2026,European Union Agency for Cybersecurity (ENISA),Report,ENISA Single Programming Document 2026,https://www.linkedin.com/feed/update/urn:li:activity:7412045105966133248/
2. February 2026,"Health Sciences Authority (HSA), Singapore",Guidance,Product Defect Reporting and Recall Procedures,https://www.linkedin.com/feed/update/urn:li:activity:7418904098265014272/
2. February 2026,International Council for Harmonisation,Guidance,ICH Assembly Singapore Meeting - Final Minutes (18-19 November 2025),https://www.linkedin.com/feed/update/urn:li:activity:7421537734206476289/
2. February 2026,International Council for Harmonisation,Guidance,"ICH Management Committee Meeting – Singapore (16, 17 & 19 November 2025)",https://www.linkedin.com/feed/update/urn:li:activity:7421535215359070208/
2. February 2026,Medical Device Authority Malaysia,Guidance,Procurement of Medical Devices for Healthcare Facilities,https://www.linkedin.com/feed/update/urn:li:activity:7422537875684192256/
2. February 2026,MedTech Europe,Joint Statement,Call for EU-level Action on Professional Third-Party Litigation Funding,https://www.linkedin.com/feed/update/urn:li:activity:7421427932704854016/
2. February 2026,MedTech Europe,Presentation,The German MedTech Market – Training Webinar: Market Figures and Facts,https://www.linkedin.com/feed/update/urn:li:activity:7421431756500746240/
2. February 2026,MedTech Europe,Agreement,GGeneral Model Grant Agreement (HE MGA – Multi & Mono),https://www.linkedin.com/feed/update/urn:li:activity:7422253070438465537/
2. February 2026,NMPA-National Medical Products Administration,Catalogue,Catalogue of Generic Reference Preparations (Batch 1001) (No. 3 of 2026),https://www.linkedin.com/feed/update/urn:li:activity:7422207661649084417/
2. February 2026,NMPA-National Medical Products Administration,Standards,2026 Medical Device Industry Standard Formulation and Revision Plan,https://www.linkedin.com/feed/update/urn:li:activity:7422206657121751041/
2. February 2026,NMPA-National Medical Products Administration,Standards,Two Medical Device Industry Standards Related to Brain–Computer Interface,https://www.linkedin.com/feed/update/urn:li:activity:7418709143747907584/
2. February 2026,Swissmedic,Forms,Swissmedic Forms for January 2026,
2. February 2026,USA Food & Drug Administration FDA,Guidance,Cuffless Non-Invasive Blood Pressure Measuring Devices - Testing & Evaluation,https://www.linkedin.com/feed/update/urn:li:activity:7421431714671124480/
2. February 2026,USA Food & Drug Administration FDA,Report,CDRH Annual Report 2025,https://www.linkedin.com/feed/update/urn:li:activity:7422525531910311936/
2. February 2026,USA Food & Drug Administration FDA,Guidance,FDA Implements QMSR: Updated Medical Device Inspection Process,


