Date,Agency,Category,Information,
3. November 2025,ANVISA Brazil,Guidance,Manual for Calculating Acute Oral Toxicity Estimate (ETA) for cleaning products,https://www.linkedin.com/feed/update/urn:li:activity:7388835920357113856?
3. November 2025,ANVISA Brazil,Regulation,Sanitary regularization of saline solutions as medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7389983563779100672?
3. November 2025,European Commission,Guidance,Selection of a Reporting Member State (RMS) Article 85(2)(c) EU Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7390033081723949056?
3. November 2025,European Data Protection Board,Guidance,Data protection compliance when using Generative AI systems,https://www.linkedin.com/feed/update/urn:li:activity:7389190664334290944?
3. November 2025,European Medicines Agency,Guidance,Pre-authorisation procedural advice for the centralised procedure,https://www.linkedin.com/feed/update/urn:li:activity:7389194333800853505?
3. November 2025,European Medicines Agency,Guidance,Regulatory Network Incident Management Plan,https://www.linkedin.com/feed/update/urn:li:activity:7389546186052947968?
3. November 2025,European Medicines Agency,Guidance,Business Process Description Pharmacovigilance,https://www.linkedin.com/feed/update/urn:li:activity:7389548631529406464?
3. November 2025,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC) 27 - 30 October 2025,https://www.linkedin.com/feed/update/urn:li:activity:7390037228539826176?
3. November 2025,Health Canada,Guidance,What We Heard - Draft Guidance on Co-Packaged Drug Products,https://www.linkedin.com/feed/update/urn:li:activity:7388832989121765376?
3. November 2025,International Pharmaceutical Excipients Council Federation(IPEC),Guidance,Questionnaire for Excipient Nitrosamines Risk Evaluation - Version 2,https://www.linkedin.com/feed/update/urn:li:activity:7390097314297749504?
3. November 2025,MedTech Europe,Booklet,"Greener, smarter healthcare: Electronic Instructions for near-patient tests",https://www.linkedin.com/feed/update/urn:li:activity:7389972051769401344?
3. November 2025,MedTech Europe,Position Paper,Quality Standards for Diabetes Technology,https://www.linkedin.com/feed/update/urn:li:activity:7389975729855434753?
3. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,British Pharmacopoeia - ATMP Guidance: Replication Competent Virus Testing,https://www.linkedin.com/feed/update/urn:li:activity:7389550637602054144
3. November 2025,NMPA-National Medical Products Administration,Standards,Issuance of 15 Medical Device Industry Standards,https://www.linkedin.com/feed/update/urn:li:activity:7389979642193129472?
3. November 2025,Swissmedic,Forms,Swissmedic Forms for October 2025,
3. November 2025,Swissmedic,Report,Vigilance for Veterinary Medicinal Products - Annual Report 2024,https://www.linkedin.com/feed/update/urn:li:activity:7388824879657140224?
3. November 2025,Swissmedic,Position Paper,Update on Swissmedic &  swissethics on decentralised clinical trials (DCTs),https://www.linkedin.com/feed/update/urn:li:activity:7389909996609773568?
3. November 2025,USA Food & Drug Administration FDA,Guidance,Quality Management System Information for Premarket Submission Reviews,https://www.linkedin.com/feed/update/urn:li:activity:7388829498760126464?
3. November 2025,USA Food & Drug Administration FDA,Guidance,Scientific Considerations in Demonstrating Biosimilarity to a Reference Product,https://www.linkedin.com/feed/update/urn:li:activity:7389553383076179968?
3. November 2025,USA Food & Drug Administration FDA,Guidance,Menstrual Products - Performance Testing and Labeling Recommendations,https://www.linkedin.com/feed/update/urn:li:activity:7389610607332995073?
